time_slot,sound_data(dB),
1,63.2888,morning
2,62.226882,
3,58.855516,
4,63.740446,
5,62.653538,
6,63.723986,
7,64.37209,
8,64.680428,
9,60.347502,
10,61.262762,
11,60.717012,
12,60.473975,
13,58.23125,
14,57.532373,
15,60.212297,
16,62.664185,
17,61.516965,
18,59.120669,
19,58.911412,
20,61.53067,
21,59.378505,
22,58.731927,
23,59.643538,
24,58.134248,
25,58.466547,
26,59.524411,
27,61.52208,
28,61.680749,
29,62.141527,
30,63.252171,
31,59.717883,
32,60.413738,
33,58.970618,
34,59.809413,
35,60.641379,
36,60.723446,
37,62.316392,
38,62.24687,
39,63.629957,
40,63.900213,
41,62.831719,
42,62.427118,
43,61.3774,
44,60.856352,
45,63.238111,
46,62.314741,
47,61.554795,
48,58.959727,
49,57.549132,
50,57.952328,
51,57.697822,
52,57.953569,
53,57.164436,
54,58.402934,
55,62.316384,
56,61.80599,
57,60.519968,
58,60.643345,
59,63.133335,
60,65.180354,
61,63.292964,
62,61.130864,
63,61.815775,
64,62.450699,
65,62.249374,
66,61.604325,
67,61.25001,
68,61.164354,
69,62.544984,
70,61.981975,
71,61.014665,
72,61.249864,
73,60.795813,
74,60.784208,
75,59.807089,
76,59.001945,
77,59.571036,
78,63.010781,
79,63.177914,
80,63.212353,
81,64.668042,
82,61.315197,
83,59.457456,
84,58.029272,
85,60.075037,
86,62.250846,
87,62.435894,
88,63.537894,
89,62.455488,
90,60.164792,
91,59.192835,
92,60.060424,
93,58.571241,
94,61.727192,
95,61.163995,
96,62.090293,
97,60.7075,
98,61.512937,
99,59.995506,
100,60.84363,
101,58.8263,
102,59.805739,
103,63.459057,
104,63.882937,
105,62.503223,
106,61.518183,
107,62.148338,
108,62.910907,
109,62.288683,
110,63.980068,
111,63.879407,
112,65.098988,
113,63.841681,
114,60.385735,
115,60.191769,
116,59.675801,
117,61.896663,
118,62.994995,
119,65.212456,
120,65.358949,
121,64.599405,
122,61.823936,
123,59.428334,
124,59.412695,
125,59.800536,
126,62.633701,
127,60.9892,
128,59.573346,
129,59.763908,
130,60.471787,
131,62.002976,
132,59.646767,
133,61.799867,
134,63.332371,
135,64.863527,
136,63.751941,
137,61.349662,
138,60.66714,
139,59.44209,
140,58.231087,
141,58.922395,
142,59.130495,
143,60.963235,
144,62.79359,
145,64.746629,
146,64.830618,
147,64.56768,
148,63.562845,
149,63.905213,
150,63.894765,
151,69.627238,afternoon
152,67.738822,
153,68.018261,
154,67.499413,
155,65.046171,
156,66.070619,
157,65.922247,
158,67.936426,
159,65.559949,
160,67.842375,
161,68.100407,
162,67.174345,
163,68.65966,
164,66.194813,
165,67.538383,
166,67.032283,
167,69.095898,
168,68.078258,
169,67.656527,
170,68.673293,
171,69.164525,
172,70.904848,
173,71.720661,
174,71.369865,
175,72.409773,
176,70.849494,
177,69.769998,
178,71.029237,
179,72.493423,
180,71.425684,
181,71.07362,
182,70.201045,
183,70.215811,
184,71.920802,
185,71.308971,
186,70.693538,
187,72.310219,
188,72.261045,
189,70.94774,
190,72.694712,
191,70.162079,
192,69.554744,
193,69.584115,
194,68.839862,
195,66.394648,
196,65.15348,
197,66.677444,
198,68.913647,
199,69.282293,
200,71.756682,
201,72.176707,
202,71.453373,
203,70.657814,
204,69.335041,
205,66.971977,
206,64.534724,
207,65.766408,
208,64.891032,
209,66.473244,
210,67.763122,
211,69.917151,
212,70.159814,
213,70.792033,
214,68.989097,
215,68.421492,
216,68.440496,
217,68.290135,
218,70.847112,
219,70.852454,
220,73.575668,
221,71.17605,
222,70.886089,
223,71.420834,
224,69.938462,
225,71.639362,
226,72.304995,
227,72.625862,
228,69.278271,
229,68.74724,
230,67.918599,
231,68.460775,
232,65.72219,
233,70.691962,
234,69.717724,
235,68.300395,
236,67.059,
237,68.849454,
238,70.858495,
239,70.183992,
240,74.284852,
241,76.31745,
242,73.132987,
243,70.956679,
244,69.743549,
245,71.767643,
246,72.76588,
247,72.082944,
248,70.808087,
249,71.729191,
250,73.356834,
251,74.276845,
252,73.492536,
253,72.883638,
254,71.57225,
255,70.796577,
256,72.921193,
257,73.339712,
258,72.234658,
259,73.576429,
260,73.556945,
261,74.293077,
262,70.117449,
263,70.202712,
264,69.25805,
265,68.777482,
266,67.61264,
267,68.623926,
268,66.990895,
269,67.433457,
270,68.799028,
271,72.449398,
272,73.384811,
273,69.703191,
274,69.611845,
275,69.246299,
276,67.698536,
277,70.183556,
278,70.175362,
279,71.3387,
280,72.698556,
281,72.244668,
282,71.925395,
283,69.784135,
284,69.434061,
285,68.720439,
286,69.396549,
287,71.395546,
288,69.029146,
289,68.197962,
290,71.062719,
291,70.130908,
292,71.879842,
293,70.936892,
294,70.125895,
295,68.440008,
296,69.520705,
297,68.788543,
298,68.415717,
299,67.585845,
300,68.620937,
301,66.586548,evening
302,63.18049,
303,61.415402,
304,61.93653,
305,63.295983,
306,64.250957,
307,63.18647,
308,64.083542,
309,64.744443,
310,65.903155,
311,66.259995,
312,66.518995,
313,63.507375,
314,64.724203,
315,64.11063,
316,64.345053,
317,65.014495,
318,63.192497,
319,63.834992,
320,64.491498,
321,63.732995,
322,65.705995,
323,66.069493,
324,66.254993,
325,65.906493,
326,67.234493,
327,65.6575,
328,63.525998,
329,63.780995,
330,61.858497,
331,61.878495,
332,61.449998,
333,63.151992,
334,63.994495,
335,64.599495,
336,67.042997,
337,65.052998,
338,64.691995,
339,64.949497,
340,64.34749,
341,63.072495,
342,64.622495,
343,64.711997,
344,64.181497,
345,65.700997,
346,65.786495,
347,65.275495,
348,68.757497,
349,68.481498,
350,66.616493,
351,64.77799,
352,65.355495,
353,64.826498,
354,65.911495,
355,63.057495,
356,64.534,
357,63.100495,
358,64.926497,
359,65.34,
360,64.9585,
361,66.237995,
362,65.089493,
363,64.50949,
364,62.929497,
365,63.281495,
366,61.60149,
367,63.210992,
368,64.606495,
369,65.805498,
370,66.694495,
371,68.266997,
372,70.8535,
373,72.028498,
374,70.819995,
375,69.017495,
376,65.11499,
377,65.468995,
378,65.738493,
379,64.019495,
380,63.493495,
381,62.769495,
382,64.028495,
383,65.005995,
384,65.475493,
385,65.927492,
386,66.6925,
387,67.286497,
388,66.574995,
389,67.197992,
390,70.19349,
391,70.93299,
392,68.620493,
393,67.112493,
394,65.064498,
395,64.573493,
396,66.812495,
397,67.897998,
398,65.409993,
399,63.338,
400,62.409992,
401,63.832998,
402,64.410495,
403,64.588998,
404,68.390495,
405,66.380995,
406,67.05199,
407,66.188,
408,66.521997,
409,65.509493,
410,64.235995,
411,62.310997,
412,62.915993,
413,63.301992,
414,63.138998,
415,63.895495,
416,64.732493,
417,63.264493,
418,65.467495,
419,66.471495,
420,65.144998,
421,62.669995,
422,62.431992,
423,62.427995,
424,62.257497,
425,64.039995,
426,63.195495,
427,63.344497,
428,61.620995,
429,61.968995,
430,62.408497,
431,61.889498,
432,62.898493,
433,61.841493,
434,59.720492,
435,59.426995,
436,61.664993,
437,61.2895,
438,60.583498,
439,61.043993,
440,60.529995,
441,63.674495,
442,61.972,
443,61.752495,
444,63.865495,
445,63.075995,
446,60.864498,
447,60.910495,
448,60.956992,
449,58.816993,
450,58.948995,
