time,avg_gain
5.0,60.14200
10.0,65.73200
15.0,65.89399
20.0,67.56078
25.0,69.27142
30.0,71.92799
35.0,69.44901
40.0,71.32244
45.0,71.96799
50.0,71.08200
55.0,71.16470
60.0,70.55306
65.0,69.74600
70.0,67.58823
75.0,70.34489
80.0,70.15400
85.0,71.02399
90.0,68.74117
95.0,67.12448
100.0,68.94199
105.0,68.19019
110.0,69.28979
115.0,67.67399
120.0,73.85600
125.0,74.29607
130.0,72.46326
135.0,76.32000
140.0,71.55882
145.0,68.25102
150.0,66.56599
155.0,67.15800
160.0,67.12745
165.0,67.65102
170.0,67.90799
175.0,67.25490
180.0,65.60204
185.0,66.42200
190.0,65.30600
195.0,65.52941
200.0,65.09795
205.0,65.52599
210.0,66.77450
215.0,68.98979
220.0,69.11000
225.0,70.49200
230.0,71.18627
235.0,69.81632
240.0,69.39600
245.0,65.84313
250.0,65.15306
255.0,65.35399
260.0,66.59999
265.0,66.81200
270.0,69.63061
275.0,68.59000
280.0,66.62352
285.0,67.54285
290.0,69.60399
295.0,68.70980
300.0,67.70800
305.0,66.04285
310.0,62.96200
315.0,64.12156
320.0,63.84489
325.0,67.12000
330.0,73.76666
335.0,73.93999
340.0,71.54897
345.0,71.71599
350.0,72.85490
355.0,69.07142
360.0,65.41400
365.0,62.00392
370.0,62.07400
375.0,62.81632
380.0,62.44705
385.0,64.43400
390.0,63.61224
395.0,63.32600
400.0,63.14313
405.0,64.79800
410.0,67.93877
415.0,70.49607
420.0,70.64000
425.0,69.93469
430.0,68.56600
435.0,71.42549
440.0,69.97200
445.0,67.04693
450.0,67.21372
455.0,67.28399
460.0,65.77142
465.0,63.55799
470.0,63.18823
475.0,61.48400
480.0,64.91428
485.0,63.82745
490.0,63.01999
495.0,67.68571
500.0,66.25399
505.0,70.54117
510.0,69.86200
515.0,69.19795
520.0,69.53137
525.0,71.18999
530.0,76.49387
535.0,74.78600
540.0,72.20588
545.0,69.32399
550.0,67.73265
555.0,66.20784
560.0,66.90200
565.0,68.92244
570.0,69.03399
575.0,65.76078
580.0,63.03999
585.0,61.49591
590.0,64.28431
595.0,66.04800
600.0,66.27755
605.0,69.90399
610.0,72.25294
615.0,69.65400
620.0,67.26326
625.0,66.12745
630.0,67.23399
635.0,63.33265
640.0,63.91199
645.0,66.70000
650.0,66.47799
655.0,68.72040
660.0,68.74705
665.0,65.86199
670.0,66.29387
675.0,69.76600
680.0,69.27058
685.0,68.44000
690.0,69.69795
695.0,68.95098
700.0,67.26199
705.0,63.95714
710.0,62.81000
715.0,62.67450
720.0,60.27199
725.0,61.81020
730.0,61.82156
735.0,65.37599
740.0,65.17755
745.0,64.84399
750.0,68.98823
755.0,64.95599
760.0,64.67346
765.0,64.48627
770.0,67.30400
775.0,70.52653
780.0,66.04509
